reference version,updated version,SMT solver,iteration,incoming time,outgoing time,f-measure,precision,recall,reference model: number of states,reference model: number of transitions,updated model: number of states,updated model: number of transitions,output model: number of states,output model: number of transitions
DropBear,BitVise,yices,6,0.15408897399902344,0.261655330657959,0.06845513413506012,0.04307334109429569,0.16666666666666666,18,222,67,859,77,1044
DropBear,BitVise,yices,7,0.16049981117248535,0.2755866050720215,0.06845513413506012,0.04307334109429569,0.16666666666666666,18,222,67,859,77,1044
DropBear,BitVise,yices,8,0.1654071807861328,0.32659339904785156,0.06845513413506012,0.04307334109429569,0.16666666666666666,18,222,67,859,77,1044
DropBear,BitVise,yices,9,0.15258383750915527,0.24372243881225586,0.06845513413506012,0.04307334109429569,0.16666666666666666,18,222,67,859,77,1044
DropBear,BitVise,z3,1,0.18054914474487305,0.3103904724121094,0.06845513413506012,0.04307334109429569,0.16666666666666666,18,222,67,859,77,1044
DropBear,BitVise,z3,10,0.17798423767089844,0.28754496574401855,0.06845513413506012,0.04307334109429569,0.16666666666666666,18,222,67,859,77,1044
DropBear,BitVise,z3,2,0.16936445236206055,0.40014195442199707,0.06845513413506012,0.04307334109429569,0.16666666666666666,18,222,67,859,77,1044
DropBear,BitVise,z3,3,0.17313504219055176,0.2973031997680664,0.06845513413506012,0.04307334109429569,0.16666666666666666,18,222,67,859,77,1044
DropBear,BitVise,z3,4,0.26784348487854004,0.8281898498535156,0.06845513413506012,0.04307334109429569,0.16666666666666666,18,222,67,859,77,1044
DropBear,BitVise,z3,5,0.1771373748779297,0.3514716625213623,0.06845513413506012,0.04307334109429569,0.16666666666666666,18,222,67,859,77,1044
DropBear,BitVise,z3,6,0.17810750007629395,0.305814266204834,0.06845513413506012,0.04307334109429569,0.16666666666666666,18,222,67,859,77,1044
DropBear,BitVise,z3,7,0.18836164474487305,0.32188916206359863,0.06845513413506012,0.04307334109429569,0.16666666666666666,18,222,67,859,77,1044
DropBear,BitVise,z3,8,0.2027115821838379,0.39876365661621094,0.06845513413506012,0.04307334109429569,0.16666666666666666,18,222,67,859,77,1044
DropBear,BitVise,z3,9,0.18546056747436523,0.4731912612915039,0.06845513413506012,0.04307334109429569,0.16666666666666666,18,222,67,859,77,1044
DropBear,DropBear,cvc4,1,0.1079254150390625,0.1776728630065918,1.0,1.0,1.0,18,222,18,222,18,222
DropBear,DropBear,cvc4,10,0.10616183280944824,0.198408842086792,1.0,1.0,1.0,18,222,18,222,18,222
DropBear,DropBear,cvc4,2,0.10411977767944336,0.1622769832611084,1.0,1.0,1.0,18,222,18,222,18,222
DropBear,DropBear,cvc4,3,0.10315990447998047,0.16096019744873047,1.0,1.0,1.0,18,222,18,222,18,222
DropBear,DropBear,cvc4,4,0.12306714057922363,0.29288673400878906,1.0,1.0,1.0,18,222,18,222,18,222
DropBear,DropBear,cvc4,5,0.11002302169799805,0.16605639457702637,1.0,1.0,1.0,18,222,18,222,18,222
DropBear,DropBear,cvc4,6,0.10787844657897949,0.16650700569152832,1.0,1.0,1.0,18,222,18,222,18,222
DropBear,DropBear,cvc4,7,0.10817074775695801,0.17063474655151367,1.0,1.0,1.0,18,222,18,222,18,222
DropBear,DropBear,cvc4,8,0.11425375938415527,0.1696004867553711,1.0,1.0,1.0,18,222,18,222,18,222
DropBear,DropBear,cvc4,9,0.10562920570373535,0.1752762794494629,1.0,1.0,1.0,18,222,18,222,18,222
DropBear,DropBear,msat,1,0.06782865524291992,0.12886571884155273,1.0,1.0,1.0,18,222,18,222,18,222
DropBear,DropBear,msat,10,0.06351900100708008,0.12312102317810059,1.0,1.0,1.0,18,222,18,222,18,222
DropBear,DropBear,msat,2,0.062591552734375,0.1199347972869873,1.0,1.0,1.0,18,222,18,222,18,222
DropBear,DropBear,msat,3,0.06208634376525879,0.12107419967651367,1.0,1.0,1.0,18,222,18,222,18,222
DropBear,DropBear,msat,4,0.080780029296875,0.139190673828125,1.0,1.0,1.0,18,222,18,222,18,222
DropBear,DropBear,msat,5,0.0653066635131836,0.12392091751098633,1.0,1.0,1.0,18,222,18,222,18,222
